timestamp,model,prompt_strategy,file,code_chars,elapsed_s,result
2026-02-09T14:47:58.356166,claude-3-5-haiku@20241022,zero_shot,safe_01_logging.go,5177,9.995,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:06.492764,claude-3-5-haiku@20241022,zero_shot,safe_02_local_var.go,6316,8.136,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:13.871891,claude-3-5-haiku@20241022,zero_shot,safe_03_map_read.go,6388,7.378,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:20.517106,claude-3-5-haiku@20241022,zero_shot,safe_04_math_rand.go,5307,6.645,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:27.190813,claude-3-5-haiku@20241022,zero_shot,safe_05_deterministic_time.go,5861,6.673,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:33.810188,claude-3-5-haiku@20241022,zero_shot,safe_06_external_lib.go,6189,6.619,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:40.446817,claude-3-5-haiku@20241022,zero_shot,vuln_01_b_interprocedural.go,5157,6.637,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:47.090065,claude-3-5-haiku@20241022,zero_shot,vuln_01_time.go,4291,6.643,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:48:54.255438,claude-3-5-haiku@20241022,zero_shot,vuln_02_global.go,4833,7.164,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:00.872788,claude-3-5-haiku@20241022,zero_shot,vuln_03_goroutine.go,5336,6.616,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:08.043657,claude-3-5-haiku@20241022,zero_shot,vuln_04_b_nested_map.go,5711,7.17,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:14.683532,claude-3-5-haiku@20241022,zero_shot,vuln_04_map_iter.go,4688,6.639,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:21.328364,claude-3-5-haiku@20241022,zero_shot,vuln_05_phantom.go,5565,6.644,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:27.948719,claude-3-5-haiku@20241022,zero_shot,vuln_06_b_conditional_leak.go,5739,6.62,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:35.115740,claude-3-5-haiku@20241022,zero_shot,vuln_06_iterator_leak.go,5460,7.167,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-3-5-haiku@20241022` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:41.725636,claude-sonnet-4-20250514,zero_shot,safe_01_logging.go,5177,6.61,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-sonnet-4-20250514` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:48.378416,claude-sonnet-4-20250514,zero_shot,safe_02_local_var.go,6316,6.652,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-sonnet-4-20250514` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:49:55.002105,claude-sonnet-4-20250514,zero_shot,safe_03_map_read.go,6388,6.623,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-sonnet-4-20250514` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:50:01.653551,claude-sonnet-4-20250514,zero_shot,safe_04_math_rand.go,5307,6.651,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-sonnet-4-20250514` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:50:08.298808,claude-sonnet-4-20250514,zero_shot,safe_05_deterministic_time.go,5861,6.645,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-sonnet-4-20250514` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
2026-02-09T14:50:14.936422,claude-sonnet-4-20250514,zero_shot,safe_06_external_lib.go,6189,6.637,"ERROR: Error code: 404 - {'error': {'code': 404, 'message': 'Publisher Model `projects/hyperscale-ai-442809/locations/us-east5/publishers/anthropic/models/claude-sonnet-4-20250514` was not found or your project does not have access to it. Please ensure you are using a valid model version. For more information, see: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/model-versions', 'status': 'NOT_FOUND'}}"
