timestamp,run_number,model,prompt_strategy,file,code_chars,elapsed_s,result
2026-02-10T20:42:31.000370,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,safe_01_logging.go,5177,0.441,No vulnerabilities detected.
2026-02-10T20:42:31.383421,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,safe_02_local_var.go,6316,0.362,No vulnerabilities detected.
2026-02-10T20:42:31.775940,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,safe_03_map_read.go,6388,0.375,No vulnerabilities detected.
2026-02-10T20:42:32.096219,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,safe_04_math_rand.go,5307,0.3,No vulnerabilities detected.
2026-02-10T20:42:32.451117,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,safe_05_deterministic_time.go,5861,0.334,No vulnerabilities detected.
2026-02-10T20:42:32.802358,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,safe_06_external_lib.go,6189,0.337,No vulnerabilities detected.
2026-02-10T20:42:39.480992,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,vuln_01_b_interprocedural.go,5157,6.654,"### Vulnerability Analysis

1. **Vulnerability Type**: Interprocedural Nondeterminism
   - **Severity**: High
   - **Affected Code Location**: `getCurrentTimestamp`, `formatTimestampNano`, `buildTimestampedNote`, `CreateRecord`, `UpdateDiagnosis`, `AddCheckupNote`
   - **Description**: The chaincode uses helper functions to call `time.Now()`, which introduces interprocedural nondeterminism. This means that the timestamp can vary across different peers, leading to inconsistencies and potential security issues.
   - **Recommended Fix**: Replace the helper functions with direct calls to `time.Now()` in the functions where the timestamp is needed. For example, replace `getCurrentTimestamp()` with `time.Now().Format(time.RFC3339)` in `CreateRecord`, `UpdateDiagnosis`, and `AddCheckupNote`.

2. **Vulnerability Type**: Access Control Issues
   - **Severity**: Medium
   - **Affected Code Location**: `CreateRecord`, `UpdateDiagnosis`, `AddCheckupNote`
   - **Description**: The chaincode does not enforce any access control checks. Any user can create, update, or add notes to any medical record, which could lead to unauthorized access and data tampering.
   - **Recommended Fix**: Implement access control checks to ensure that only authorized users can create, update, or add notes to medical records. This can be done by checking the identity of the transaction submitter and ensuring they have the necessary permissions.

3. **Vulnerability Type**: Input Validation Flaws
   - **Severity**: Medium
   - **Affected Code Location**: `CreateRecord`, `UpdateDiagnosis`, `AddCheckupNote`
   - **Description**: The chaincode does not validate the input parameters. For example, it does not check if the `recordID` is a valid format or if the `patientID` exists in the system.
   - **Recommended Fix**: Implement input validation to ensure that the input parameters are valid and meet the expected format. This can be done by adding validation checks in the `CreateRecord`, `UpdateDiagnosis`, and `AddCheckupNote` functions.

4. **Vulnerability Type**: Private Data Leakage
   - **Severity**: Medium
   - **Affected Code Location**: `CreateRecord`, `UpdateDiagnosis`, `AddCheckupNote`
   - **Description**: The chaincode does not encrypt sensitive data, such as medical records. This could lead to private data leakage if the chaincode is compromised.
   - **Recommended Fix**: Implement encryption to protect sensitive data. This can be done by encrypting the medical records before storing them on the ledger.

5. **Vulnerability Type**: Non-Deterministic Operations
   - **Severity**: High
   - **Affected Code Location**: `CreateRecord`, `UpdateDiagnosis`, `AddCheckupNote`
   - **Description**: The chaincode uses non-deterministic operations, such as `time.Now()`, which can lead to inconsistencies and potential security issues.
   - **Recommended Fix**: Replace non-deterministic operations with deterministic ones. For example, replace `time.Now()` with a deterministic timestamp that is generated by the chaincode itself.

6. **Vulnerability Type**: Insecure Key Management
   - **Severity**: Medium
   - **Affected Code Location**: `AddCheckupNote`
   - **Description**: The chaincode uses a composite key that includes a nondeterministic timestamp, which could lead to insecure key management.
   - **Recommended Fix**: Implement secure key management practices to ensure that the composite key is unique and secure. This can be done by using a secure random number generator to generate the composite key."
2026-02-10T20:42:45.884497,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,vuln_01_time.go,4291,6.381,"### Vulnerability Analysis

1. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `CreateShipment`, `UpdateShipmentStatus`, `RecordTemperature` (lines 36, 52, 68)
   - **Description**: The use of `time.Now()` in multiple functions results in non-deterministic behavior. Each peer will execute this at a slightly different wall-clock time, producing different timestamps. This can lead to endorsement mismatches and prevent transactions from being committed to the ledger.
   - **Recommended Fix**: Use a deterministic timestamp source, such as a timestamp provided by the transaction context or a trusted external service. For example, you could use a timestamp provided by the transaction context or a trusted external service.

2. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `CreateShipment`, `UpdateShipmentStatus`, `RecordTemperature` (lines 36, 52, 68)
   - **Description**: The use of `time.Now()` with nanosecond precision in `CreateShipment` and `UpdateShipmentStatus` exacerbates the non-deterministic behavior, as it increases the likelihood of endorsement mismatches.
   - **Recommended Fix**: Use a timestamp with a higher precision that is consistent across all peers, such as a timestamp provided by the transaction context or a trusted external service.

3. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `RecordTemperature` (line 68)
   - **Description**: The use of `time.Now()` in `RecordTemperature` to build a composite value (e.g., temperature reading with timestamp) results in non-deterministic behavior. Different peers produce different Temperature strings, causing the marshalled JSON to differ and endorsement to fail.
   - **Recommended Fix**: Use a deterministic timestamp source, such as a timestamp provided by the transaction context or a trusted external service.

4. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `UpdateShipmentStatus` (line 52)
   - **Description**: The use of `time.Now()` in `UpdateShipmentStatus` to update the `UpdatedAt` field results in non-deterministic behavior. Different peers produce different `UpdatedAt` values, leading to different PutState payloads and endorsement failure.
   - **Recommended Fix**: Use a deterministic timestamp source, such as a timestamp provided by the transaction context or a trusted external service.

5. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `RecordTemperature` (line 68)
   - **Description**: The use of `time.Now()` in `RecordTemperature` to update the `UpdatedAt` field results in non-deterministic behavior. Different peers produce different `UpdatedAt` values, leading to different PutState payloads and endorsement failure.
   - **Recommended Fix**: Use a deterministic timestamp source, such as a timestamp provided by the transaction context or a trusted external service.

### Summary

- **Non-deterministic operations**: High severity. The use of `time.Now()` in multiple functions results in non-deterministic behavior, leading to endorsement mismatches and preventing transactions from being committed to the ledger.
- **Recommended Fix**: Use a deterministic timestamp source, such as a timestamp provided by the transaction context or a trusted external service."
2026-02-10T20:42:52.060404,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,vuln_02_global.go,4833,6.162,"### Vulnerability Analysis

1. **Vulnerability Type**: Global variable
   - **Severity**: High
   - **Affected Code Location**: `transactionCounter` and `lastProcessedID` (lines 10-11)
   - **Description**: Global variables are maintained in each peer's memory and are not synchronized across peers. This leads to different values being used by different peers, causing endorsement mismatches.
   - **Recommended Fix**: Use the ledger to store global state instead of relying on global variables. For example, store the transaction counter and last processed ID as state variables.

2. **Vulnerability Type**: Reading and mutating a global variable inside chaincode
   - **Severity**: High
   - **Affected Code Location**: `IssueToken` function (lines 27-30)
   - **Description**: The `transactionCounter` is incremented and used to set the `TxCount` field in the token. Since this counter is peer-specific, different peers will write different values to the ledger, causing endorsement mismatches.
   - **Recommended Fix**: Use the ledger to store the transaction counter and ensure that it is incremented atomically.

3. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `TransferToken` function (lines 42-45, 52-55)
   - **Description**: The `transactionCounter` is incremented and used to set the `TxCount` field in the token. Since this counter is peer-specific, different peers will write different values to the ledger, causing endorsement mismatches.
   - **Recommended Fix**: Use the ledger to store the transaction counter and ensure that it is incremented atomically.

4. **Vulnerability Type**: Exposing global variable values
   - **Severity**: High
   - **Affected Code Location**: `GetGlobalStats` function (lines 63-64)
   - **Description**: The `transactionCounter` and `lastProcessedID` are exposed, which are peer-specific and can lead to different values being returned by different peers.
   - **Recommended Fix**: Remove the exposure of global variable values or ensure that the values are synchronized across peers.

5. **Vulnerability Type**: Key derived from global variable
   - **Severity**: High
   - **Affected Code Location**: `BurnToken` function (lines 74-77)
   - **Description**: The `transactionCounter` is used to generate a key for the burn receipt. Since this counter is peer-specific, different peers will write to different keys, causing inconsistencies.
   - **Recommended Fix**: Use the ledger to store the burn receipt and ensure that the key is unique and consistent across peers.

### Summary of Recommendations

1. **Use the ledger to store global state**:
   - Replace global variables with state variables that are stored on the ledger.
   - Use atomic operations to ensure that global state is updated correctly.

2. **Ensure consistency across peers**:
   - Use the ledger to store state variables and ensure that they are synchronized across peers.
   - Avoid using peer-specific global variables in chaincode logic.

3. **Remove exposure of global variable values**:
   - If necessary, remove the exposure of global variable values or ensure that the values are synchronized across peers.

By addressing these vulnerabilities, the chaincode will be more secure and consistent across different peers in the Hyperledger Fabric network."
2026-02-10T20:42:58.899054,1,qwen2.5-coder-7b-instruct-q4_k_m.gguf,zero_shot,vuln_03_goroutine.go,5336,6.82,"### Vulnerability Analysis

1. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `TallyVotes` function, lines 60-85
   - **Description**: The use of goroutines in the `TallyVotes` function introduces non-deterministic execution order. Different peers may process proposals in different orders, and the race on the `results` map may produce different intermediate states even with the mutex.
   - **Recommended Fix**: Avoid using goroutines for operations that interact with the stub in a non-deterministic order. Instead, perform these operations sequentially.

2. **Vulnerability Type**: Non-deterministic operations
   - **Severity**: High
   - **Affected Code Location**: `BatchUpdateStatus` function, lines 100-125
   - **Description**: Concurrent goroutines issuing `PutState` calls. The order in which `PutState` is invoked affects the read-write set ordering. Different goroutine scheduling on different peers means different `PutState` sequences, causing endorsement mismatch.
   - **Recommended Fix**: Avoid using goroutines for operations that interact with the stub in a non-deterministic order. Instead, perform these operations sequentially.

3. **Vulnerability Type**: Fire-and-forget goroutine
   - **Severity**: High
   - **Affected Code Location**: `AsyncNotify` function, lines 130-137
   - **Description**: The goroutine may or may not complete before the transaction endorsement finishes. If it calls `SetEvent` after the stub has been closed, behavior is undefined and differs per peer.
   - **Recommended Fix**: Ensure that the goroutine completes before the transaction endorsement finishes. One way to do this is to use a channel to wait for the goroutine to complete.

4. **Vulnerability Type**: Insecure key management
   - **Severity**: Medium
   - **Affected Code Location**: `CastVote` function, lines 35-40
   - **Description**: The `voterID` is not validated or sanitized before being used in the `CastVote` function. This could potentially allow an attacker to inject malicious data.
   - **Recommended Fix**: Validate and sanitize the `voterID` before using it in the `CastVote` function.

5. **Vulnerability Type**: Input validation flaws
   - **Severity**: Medium
   - **Affected Code Location**: `CreateProposal` function, lines 20-25
   - **Description**: The `id` and `title` parameters are not validated or sanitized before being used in the `CreateProposal` function. This could potentially allow an attacker to inject malicious data.
   - **Recommended Fix**: Validate and sanitize the `id` and `title` parameters before using them in the `CreateProposal` function.

6. **Vulnerability Type**: Private data leakage
   - **Severity**: Low
   - **Affected Code Location**: `CastVote` function, lines 35-40
   - **Description**: The `voterID` is not encrypted before being stored in the `Voters` slice. This could potentially allow an attacker to read the `voterID` if they have access to the chaincode state.
   - **Recommended Fix**: Encrypt the `voterID` before storing it in the `Voters` slice.

### Summary

- **No vulnerabilities detected** in terms of access control issues, read-after-write conflicts (phantom reads), and private data leakage.
- The chaincode contains several non-deterministic operations, fire-and-forget goroutines, and insecure key management issues that need to be addressed to improve security."
